County,heart,medcare_full_cov_amt,Population,CrimeRatePer100K,state,Max AQI
2012_ca_san francisco,248.42142857142858,116193.0,820363,45.589573,ca,105
2013_ca_san francisco,226.85,118761.0,833863,45.211266,ca,133
2014_ca_san francisco,219.00714285714284,121306.0,850294,44.102394,ca,97
2010_ca_san joaquin,318.2,76734.0,291707,632.8268,ca,174
2011_ca_san joaquin,294.68666666666667,79723.0,83897,2116.8816,ca,156
2012_ca_san joaquin,301.84000000000003,82966.0,299105,606.8103,ca,182
2013_ca_san joaquin,279.3333333333333,85886.0,165703,1071.1936,ca,157
2014_ca_san joaquin,279.9133333333333,89169.0,169226,1048.8932,ca,152
2010_ca_san luis obispo,216.24285714285716,44915.0,17252,9680.037,ca,161
2011_ca_san luis obispo,216.09285714285716,46306.0,13311,12012.621,ca,133
2012_ca_san luis obispo,191.67857142857142,47923.0,7798,20889.973,ca,154
2013_ca_san luis obispo,186.16428571428574,49837.0,7824,20232.617,ca,136
2014_ca_san luis obispo,180.55714285714288,51812.0,17829,8878.793,ca,126
2010_ca_san mateo,222.72666666666666,92371.0,6914,51648.832,ca,122
2011_ca_san mateo,209.60666666666665,95041.0,4332,71906.74,ca,111
2012_ca_san mateo,210.74666666666664,98235.0,99303,2965.6707,ca,98
2013_ca_san mateo,206.16666666666666,101118.0,134764,2170.461,ca,115
2014_ca_san mateo,191.11333333333332,103822.0,66793,4519.9346,ca,99
2010_ca_santa barbara,287.4133333333333,58453.0,29888,6470.8247,ca,143
2011_ca_santa barbara,280.8333333333333,59612.0,100723,1811.9,ca,161
2012_ca_santa barbara,269.9866666666667,61077.0,43120,4369.202,ca,136
2013_ca_santa barbara,259.8533333333333,62861.0,4927,37081.387,ca,122
2014_ca_santa barbara,251.9,64604.0,30669,6009.325,ca,159
2010_ca_santa clara,292.8133333333334,191103.0,29926,11956.158,ca,164
2011_ca_santa clara,271.56666666666666,197924.0,117837,2853.9424,ca,138
2012_ca_santa clara,283.3666666666667,204966.0,119360,2808.311,ca,122
